"area_type","location","Society","size","Baths","total_sqft","price","availability","",""
"Super Built-up Area","Bavdhan","Satyam Shrey","2 bhk","2","640","55.96","Under construction","",""
"Built-up Area","Sus","Kiran Sanskriti","2 bhk","2","690-720 ","45","Under construction","",""
"Built-up Area","Tathawade","Vivanta","2 bhk","2","688-693 ","60","Under construction","",""
"Super Built-up Area","Koregaon Park","Sunit Anant","3 bhk","3","1659","210","Ready to move","",""
"Built-up Area","Sinhgad Road","Nanded city","3 bhk","3","1450","78","Ready to move","",""
"Super Built-up Area","Koregaon Park","New Akshaya","2 bhk","2","1300","100","Ready to move","",""
"Super Built-up Area","Bibwewadi","Sukhsagar Nagar","2 bhk","2","850-950 ","50","Ready to move","",""
"Super Built-up Area","Koregaon Park","Tulip ","2 bhk","2","1080","95","Ready to move","",""
"Built-up Area","Dhankawadi","Ganga Altus","3 bhk","3","850-950 ","87.5","Under construction","",""
"Built-up Area","Dhankawadi","Ganga Altus","2 bhk","2","650-750 ","67.5","Under construction","",""
"Built-up Area","Hinjewadi","Rohan Ipsita","2 bhk","2","645-716 ","59.43","Under construction","",""
"Built-up Area","Hinjewadi","Rohan Ipsita","1 bhk","1","346-384 ","37","Under construction","",""
"Plot Area","Moshi","Kasturi","2 bhk","2","627-628 ","72","Under construction","",""
"Super Built-up Area","Baner","Rachana","2 bhk","2","573-606 ","69","Under construction","",""
"Built-up Area","Katraj","Laxmi Golden Palm","2 bhk","2","850","55","Ready to move","",""
"Built-up Area","Katraj","DNK Business Bay","1 bhk","1","660","41.5","Ready to move","",""
"Super Built-up Area","Bibwewadi","","1 bhk","1","500","45.6","Ready to move","",""
"Built-up Area","Kanchan Nagari","Mnik Moti Complex","3 bhk","2","1140","70","Ready to move","",""
"Built-up Area","Katraj","","2 bhk","2","1020","70","Ready to move","",""
"Super Built-up Area","Katraj","KNN Yashashree","2 bhk","2","905","65","Ready to move","",""
"Plot Area","Mangdewadi","","3 bhk","3","1800","99","Ready to move","",""
"Super Built-up Area","Bibwewadi","Laketown","2 bhk","2","1050","102","Ready to move","",""
"Super Built-up Area","Katraj","Wondercity","4 bhk","4","2100","164","Ready to move","",""
"Plot Area","Vighnaharta Nagar","Kulshree","1 bhk","1","607","35","Ready to move","",""
"Plot Area","Katraj","Hemant kamala city","1 bhk","1","605","45","Ready to Move","",""
"Built-up Area","Katraj","","4 bhk","4","1620","150","Ready to move","",""
"Super Built-up Area","Katraj","","5 bhk","6","6000","305","On Sale","",""
"Super Built-up Area","Katraj","Belvalkar Chaitranjan","1 bhk","1","680","37","Ready to move","",""
